L;pop;b1;b2;b3;N1;N2;N3;N4;S1x;S2x;S3x;S4x;nr1;nr2;nr3;nr4;ni1;ni2;ni3;ni4
4;7;917,1;1113,6;1450,3;31;33;23;4;84,82;46,07;97,56;451,25;2,9;1,7;2,5;2;3;2;2;2
4;10;989;2881;7910;163;85;33;3;203,86;484,37;1417,89;12446,71;5,9;7,3;8,3;6,6;7;8;10;3
4;12;21;55;138;180;77;24;3;4,37;9,45;23,14;212,13;8,1;7,5;5,7;6,6;9;9;7;3
4;20;764;1608;4011;272;231;113;61;163,29;208,71;656,01;1565,37;11,5;12,5;19,2;24,8;12;12;19;25
;;;;;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;;;;;
nrj = sample size - Neyman;;;;;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;;;;;
