L;pop;b1;b2;N1;N2;N3;S1x;S2x;S3x;nr1;nr2;nr3;ni1;ni2;ni3
3;7;944,6;1270;33;49;9;88,31;90,4;454,51;4,6;7;6,4;5;7;6
3;10;1993;7910;227;54;3;453,6;1643,85;12446,71;25,6;22,1;9,3;29;25;3
3;12;35;138;230;51;3;8,07;26,17;212,13;27,7;19,9;9,5;31;23;3
3;20;1387;4011;481;135;61;303,17;695,46;1565,37;58,7;37,8;38,5;59;38;38
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;
nrj = sample size - Neyman;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;
