L;pop;b1;b2;b3;b4;N1;N2;N3;N4;N5;S1x;S2x;S3x;S4x;S5x;nr1;nr2;nr3;nr4;nr5;ni1;ni2;ni3;ni4;ni5
5;7;917,1;1089,4;1270;1450,3;31;29;22;5;4;84,82;38,03;53,02;34,13;451,25;6,9;2,9;3,1;0,4;4,7;6;3;3;2;4
5;10;852;1837;3613;7910;146;77;33;25;3;164,09;278,18;500,99;1257,02;12446,71;10,4;9,3;7,2;13,7;16,3;14;12;10;18;3
5;12;17;39;78;138;155;81;34;11;3;3,36;5,97;11,24;15,07;212,13;13,6;12,6;10;4,3;16,6;18;17;13;6;3
5;20;764;1554;3403;5879;272;225;111;34;35;163,29;192,41;546,49;633,85;1040,55;29,1;28,3;39,7;14,1;23,8;29;28;40;14;24
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;;;;;;;;;;
nrj = sample size - Neyman;;;;;;;;;;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;;;;;;;;;;
