L;pop;b1;b2;b3;b4;N1;N2;N3;N4;N5;S1x;S2x;S3x;S4x;S5x;ni1;ni2;ni3;ni4;ni5
5;7;844,1;1002;1165,9;1450,3;19;25;26;17;4;66,52;49,87;49,13;91,54;451,25;2;2;2;2;2
5;10;813;1788;3613;7910;144;78;34;25;3;159,95;277,84;507,26;1257,02;12446,71;6;6;5;8;3
5;12;17;39;78;247;155;81;34;12;2;3,36;5,97;11,24;42,65;159,1;7;7;5;7;2
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;;;;;
