L;pop;b1;b2;b3;N1;N2;N3;N4;S1x;S2x;S3x;S4x;ni1;ni2;ni3;ni4
4;7;917,1;1113,6;1450,3;31;33;23;4;84,82;46,07;97,56;451,25;6;3;5;4
4;10;1122;3430;24694;175;80;27;2;238,46;599,37;3944,6;1237,44;13;15;27;2
4;12;21;55;247;180;77;25;2;4,37;9,45;39,33;159,1;17;16;22;2
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;
